Kategorie,ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
Drogerie Kosmetik Nonfood,89283,GINSENG Face Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,18.9567,2.8025,19
Drogerie Kosmetik Nonfood,89285,SHEABUTTER Face Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,15.371,2.2724,19
Drogerie Kosmetik Nonfood,89294,HAPPY AGING Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,18.9438,2.8006,19
Drogerie Kosmetik Nonfood,89295,HAPPY AGING Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,22.7223,3.3592,19
Drogerie Kosmetik Nonfood,89296,HAPPY AGING Cleanser DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,15.7823,2.3332,19
Drogerie Kosmetik Nonfood,89297,HAPPY AGING Tonic DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,13.6617,2.0197,19
Drogerie Kosmetik Nonfood,89320,Gesichtslotion Wild Utah DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,14.2272,2.1033,19
Drogerie Kosmetik Nonfood,89322,WILD UTAH Aftershave DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,10.9756,1.6226,19
Drogerie Kosmetik Nonfood,89323,WILD UTAH Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,10.9756,1.6226,19
Drogerie Kosmetik Nonfood,89342,ROSE Bodylotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,16.669,2.4643,19
Drogerie Kosmetik Nonfood,89415,CALENDULA Super Protect DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),100ml,13.2504,1.9589,19
Drogerie Kosmetik Nonfood,89423,CALENDULA Babybalm DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,12.9163,1.9095,19
Drogerie Kosmetik Nonfood,89439,ROSE Cream DEMETER - Kleingröße,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,7.3899,1.0925,19
Drogerie Kosmetik Nonfood,89441,SHEABUTTER Cream DEMETER - Kleingröße,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,7.0686,1.045,19
Drogerie Kosmetik Nonfood,89445,ALOE VERA Cream DEMETER - Kleingröße,Martina Gebhardt,Bayern,Demeter (Deutschland),15ml,8.7779,1.2977,19
Drogerie Kosmetik Nonfood,89470,BAOBAB Leg Lotion DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),150ml,12.9163,1.9095,19
Drogerie Kosmetik Nonfood,89474,BAOBAB Foot Balm DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,9.6647,1.4288,19
Drogerie Kosmetik Nonfood,89476,BAOBAB Foot Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,9.6647,1.4288,19
Drogerie Kosmetik Nonfood,89981,Slipeinlagen-Mini luftdurchlässig,Natracare,S,100% Biozutaten,10x30Stück,22.6195,3.344,7
